# CosIng Ingredients-Fragrance Inventory v2 (EU Commission open data); official CSV export dated 2020-12-30 (data last update 2020-12-15), retrieved via Internet Archive snapshot 20201230181855
# columns: inci_name,functions (functions ';'-separated, lowercase)
inci_name,functions
ANGELICA TENUISSIMA ROOT EXTRACT,skin conditioning
ANGELICA UTILIS LEAF EXTRACT,antioxidant
ANGELONIA ANGUSTIFOLIA FLOWER/LEAF/STEM EXTRACT,humectant;skin conditioning
ANGOROSIDE C,antioxidant;skin conditioning
ANHYDROGALACTOSE,antioxidant;humectant;skin conditioning
ANHYDROGLUCITOL,antiplaque;humectant;skin conditioning
ANHYDROGLUCITYL GALLATE,antimicrobial;antioxidant;astringent;skin conditioning
ANHYDROXYLITOL,humectant;skin conditioning
ANHYDROXYLITYL LACTATE,antimicrobial;preservative;solvent;surfactant - cleansing
ANIBA FERREA WOOD OIL,fragrance
ANIBA ROSAEODORA AMAZONICA WOOD EXTRACT,perfuming
ANIBA ROSAEODORA AMAZONICA WOOD OIL,perfuming
ANIBA ROSAEODORA ROOT EXTRACT ACETYLATED,perfuming
ANIBA ROSAEODORA WOOD EXTRACT,fragrance;perfuming
ANIBA ROSAEODORA WOOD OIL,astringent;fragrance;perfuming;skin conditioning;tonic
ANIBA ROSODORA WOOD EXTRACT,fragrance
ANIBA ROSODORA WOOD OIL,astringent;fragrance;skin conditioning
ANIGOZANTHOS FLAVIDUS EXTRACT,skin conditioning
ANIGOZANTHOS FLAVIDUS FLOWER EXTRACT,anti-sebum;hair conditioning;skin conditioning;skin conditioning - emollient
ANIGOZANTHOS FLAVIDUS FLOWER/LEAF EXTRACT,skin conditioning
ANIGOZANTHOS MANGLESII FLOWER EXTRACT,hair conditioning;skin conditioning
ANILINE,not reported
ANISALDEHYDE,fragrance;perfuming
ANISE ALCOHOL,perfuming
ANISOLE,perfuming
ANISYL ACETATE,perfuming
ANNONA ATEMOYA FRUIT EXTRACT,humectant;skin conditioning;skin protecting
ANNONA ATEMOYA FRUIT WATER,
ANNONA ATEMOYA PEEL EXTRACT,skin conditioning
ANNONA CHERIMOLA FRUIT EXTRACT,skin conditioning
ANNONA MURICATA BARK EXTRACT,skin conditioning
ANNONA MURICATA FRUIT,skin conditioning
ANNONA MURICATA FRUIT EXTRACT,skin conditioning
ANNONA MURICATA LEAF EXTRACT,antioxidant
ANNONA MURICATA LEAF/STEM EXTRACT,skin conditioning
ANNONA MURICATA SEEDCAKE POWDER,abrasive;skin conditioning
ANNONA RETICULATA JUICE,skin conditioning
ANNONA SQUAMOSA FLOWER EXTRACT,skin conditioning
ANNONA SQUAMOSA FRUIT EXTRACT,skin conditioning;skin protecting
ANNONA SQUAMOSA SEED EXTRACT,skin protecting
ANOECTOCHILUS FORMOSANUS CELL CULTURE EXTRACT,skin conditioning
ANOECTOCHILUS FORMOSANUS EXTRACT,skin conditioning
ANOECTOCHILUS FORMOSANUS SHOOT,humectant;skin conditioning;skin conditioning - emollient
ANOGEISSUS LEIOCARPA BARK EXTRACT,skin conditioning;skin protecting
ANOGEISSUS LEIOCARPUS BARK EXTRACT,skin protecting
ANONA MURICATA FRUIT EXTRACT,skin conditioning
ANONA RETICULATA JUICE,skin conditioning
ANREDERA CORDIFOLIA LEAF EXTRACT,humectant;skin conditioning
ANSERINE,antioxidant;humectant;skin conditioning
ANT EGG OIL EXTRACT,hair conditioning
ANTENNARIA DIOICA CALLUS EXTRACT,skin conditioning
ANTENNARIA DIOICA EXTRACT,skin conditioning
ANTENNARIA MICROPHYLLA FLOWER EXTRACT,fragrance
ANTHEMIS NOBILIS FLOWER EXTRACT,fragrance;perfuming;skin conditioning
ANTHEMIS NOBILIS FLOWER OIL,fragrance;perfuming;skin conditioning
ANTHEMIS NOBILIS FLOWER POWDER,skin conditioning
ANTHEMIS NOBILIS FLOWER WATER,fragrance;skin conditioning
ANTHEMIS NOBILIS FLOWER/LEAF/STEM OIL,fragrance;skin conditioning
ANTHEMIS NOBILIS FLOWER/LEAF/STEM WATER,skin conditioning
ANTHOCYANINS,colorant
ANTHOXANTHUM ODORATUM EXTRACT,perfuming
ANTHRACITE EXTRACT,abrasive;skin conditioning
ANTHRAQUINONE,not reported
ANTHRISCUS CEREFOLIUM EXTRACT,skin conditioning
ANTHRISCUS CEREFOLIUM LEAF OIL,fragrance;skin conditioning
ANTHRISCUS SYLVESTRIS EXTRACT,skin conditioning
ANTHURIUM ANDRAEANUM FLOWER EXTRACT,skin conditioning
ANTHYLLIS VULNERARIA EXTRACT,skin conditioning
ANTHYLLIS VULNERARIA FLOWER EXTRACT,skin conditioning
ANTI-COLLAGENASE-1 MOUSE MONOCLONAL ANTIBODY,skin conditioning
ANTI-IMMUNOGLOBULIN SUPERFAMILY DCC SUBCLASS MEMBER 4 MOUSE MONOCLONAL ANTIBODY,hair conditioning
ANTIDESMA VELUTINOSUM FRUIT EXTRACT,antioxidant;humectant;skin conditioning
ANTIMONY POTASSIUM TARTRATE,not reported
ANTIRRHINUM MAJUS FLOWER EXTRACT,humectant;skin conditioning
ANTLER VELVET,humectant;skin conditioning
ANTRODIA CINNAMOMEA EXTRACT,antimicrobial;antioxidant;astringent;skin protecting
ANTRODIA CINNAMOMEA FERMENT EXTRACT,antioxidant;skin conditioning
ANTRODIA CINNAMOMEA FERMENT FILTRATE POWDER,antioxidant;bleaching;skin conditioning;skin protecting
ANTRODIA CINNAMOMEA FRUITING BODY EXTRACT,antioxidant
AORTA EXTRACT,skin conditioning
APHANIZOMENON FLOS-AQUAE EXTRACT,humectant;skin conditioning
APHANIZOMENON FLOS-AQUAE POWDER,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - foam boosting
APHANOTHECE SACRUM EXOPOLYSACCHARIDES,absorbent;emulsion stabilising;film forming;viscosity controlling
APHANOTHECE SACRUM POLYSACCHARIDE,absorbent;emulsion stabilising;film forming;viscosity controlling
APHANOTHECE SACRUM POWDER,antioxidant;skin conditioning;skin protecting
APHLOIA THEIFORMIS LEAF EXTRACT,astringent;skin protecting
APIGENIN,antioxidant;hair conditioning
APIOS AMERICANA ROOT EXTRACT,humectant;skin conditioning - emollient
APIUM GRAVEOLENS CALLUS EXTRACT,antioxidant;skin protecting
APIUM GRAVEOLENS EXTRACT,skin conditioning
APIUM GRAVEOLENS LEAF EXTRACT,perfuming
APIUM GRAVEOLENS LEAF OIL,perfuming
APIUM GRAVEOLENS RAPACCUM LEAF EXTRACT,perfuming
APIUM GRAVEOLENS RAPACCUM LEAF OIL,perfuming
APIUM GRAVEOLENS RAPACCUM SEED OIL,perfuming
APIUM GRAVEOLENS ROOT EXTRACT,skin conditioning
APIUM GRAVEOLENS ROOT/SEED EXTRACT,fragrance;tonic
APIUM GRAVEOLENS SEED EXTRACT,antioxidant;perfuming
APIUM GRAVEOLENS SEED OIL,perfuming
APIUM GRAVEOLENS STEM EXTRACT,humectant
APO-LACTOFERRIN,antioxidant;hair conditioning;skin conditioning - emollient
APOCYNUM CANNABINUM ROOT EXTRACT,skin conditioning
APOCYNUM VENETUM LEAF/STEM EXTRACT,humectant;skin conditioning
APRICOT KERNEL AMINO ACIDS,skin conditioning
APRICOT KERNEL OIL PEG-40 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL PEG-6 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL PEG-8 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL POLYGLYCERYL-10 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL POLYGLYCERYL-3 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL POLYGLYCERYL-4 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL POLYGLYCERYL-5 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL POLYGLYCERYL-6 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
APRICOT KERNEL OIL PROPYLENE GLYCOL ESTERS,skin conditioning
APRICOTAMIDE DEA,surfactant - cleansing;surfactant - foam boosting;viscosity controlling
APRICOTAMIDOPROPYL BETAINE,antistatic;cleansing;hair conditioning;skin conditioning;surfactant - cleansing;surfactant - foam boosting;viscosity controlling
APRICOTAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE,antistatic;hair conditioning;skin conditioning
AQUA,solvent
AQUAMARINE EXTRACT,skin conditioning
AQUAMARINE POWDER,binding;skin protecting
AQUAPHILUS DOLOMIAE EXTRACT,skin conditioning;skin protecting
AQUAPHILUS DOLOMIAE EXTRACT FILTRATE,skin protecting
AQUAPHILUS DOLOMIAE FERMENT FILTRATE,skin conditioning;skin protecting
AQUILARIA AGALLOCHA OIL,skin conditioning;skin protecting
AQUILARIA AGALLOCHA STEM EXTRACT,skin conditioning
AQUILARIA AGALLOCHA WOOD EXTRACT,hair conditioning;skin conditioning
AQUILARIA AGALLOCHA WOOD OIL,fragrance
AQUILARIA AGALLOCHA WOOD POWDER,fragrance
AQUILARIA CRASSNA STEM EXTRACT,skin conditioning;skin conditioning - emollient
AQUILARIA CRASSNA STEM OIL,fragrance;perfuming
AQUILARIA MALACCENSIS STEM EXTRACT,antioxidant
AQUILARIA MALACCENSIS WOOD OIL,antioxidant;fragrance;skin conditioning;skin protecting
AQUILARIA SINENSIS LEAF EXTRACT,antioxidant;skin protecting
AQUILEGIA SIBIRICA FLOWER/LEAF/STEM EXTRACT,hair conditioning;humectant;skin conditioning
AR-ETHYLPHENYLBUTYRALDEHYDE,perfuming
AR-ISOPROPYLPHENYLACETALDEHYDE,perfuming
ARABIDOPSIS THALIANA EXTRACT,antioxidant
ARABINOSE,humectant;skin conditioning
ARABINOXYLAN,film forming
ARACHIDETH-20,surfactant - cleansing;surfactant - emulsifying
ARACHIDETH-22,surfactant - cleansing;surfactant - emulsifying
ARACHIDETH-27,surfactant - cleansing;surfactant - emulsifying
ARACHIDETH-32,surfactant - cleansing;surfactant - emulsifying
ARACHIDETH-37,surfactant - cleansing;surfactant - emulsifying
ARACHIDETH-42,surfactant - cleansing;surfactant - emulsifying
ARACHIDIC ACID,cleansing;opacifying;surfactant - cleansing;surfactant - emulsifying
ARACHIDONIC ACID,skin conditioning;skin conditioning - emollient
ARACHIDYL ALCOHOL,emulsion stabilising;skin conditioning - emollient;viscosity controlling
ARACHIDYL BEHENATE,skin conditioning;skin conditioning - emollient;viscosity controlling
ARACHIDYL ERUCATE,skin conditioning;skin conditioning - emollient
ARACHIDYL GLUCOSIDE,surfactant - cleansing;surfactant - emulsifying
ARACHIDYL GLYCOL,humectant;viscosity controlling
ARACHIDYL GLYCOL ISOSTEARATE,skin conditioning;skin conditioning - emollient
ARACHIDYL PROPIONATE,skin conditioning;skin conditioning - emollient
ARACHIDYL/BEHENYL ALCOHOL,surfactant - cleansing;surfactant - dispersing;surfactant - emulsifying;surfactant - foam boosting;surfactant - hydrotrope
ARACHIDYL/BEHENYL BETAINATE ESYLATE,cleansing;surfactant - cleansing;surfactant - dispersing;surfactant - emulsifying;surfactant - foam boosting;surfactant - hydrotrope
ARACHIDYL/BEHENYL BETAINATE MESYLATE,cleansing;surfactant - cleansing;surfactant - dispersing;surfactant - emulsifying;surfactant - foam boosting;surfactant - hydrotrope
ARACHIS HYPOGAEA (PEANUT) SPROUT EXTRACT,humectant;skin protecting
ARACHIS HYPOGAEA FLOUR,abrasive;hair conditioning;skin conditioning;viscosity controlling
ARACHIS HYPOGAEA FRUIT EXTRACT,hair conditioning;skin conditioning
ARACHIS HYPOGAEA OIL,skin conditioning
ARACHIS HYPOGAEA SEEDCOAT EXTRACT,skin conditioning
ARACHIS HYPOGAEA SPROUT EXTRACT,humectant;skin conditioning;skin protecting
ARALIA CONTINENTALIS CALLUS CULTURE EXTRACT,antimicrobial;astringent;skin conditioning;skin protecting
ARALIA CORDATA EXTRACT,skin conditioning
ARALIA ELATA BRANCH/LEAF EXTRACT,skin conditioning
ARALIA ELATA CALLUS CONDITIONED MEDIA EXTRACT,antioxidant;skin protecting
ARALIA ELATA CALLUS EXTRACT,antioxidant;skin protecting
ARALIA ELATA LEAF EXTRACT,skin conditioning
ARALIA ELATA ROOT EXTRACT,skin conditioning
ARALIA NUDICAULIS ROOT EXTRACT,skin conditioning
ARALIA RACEMOSA EXTRACT,skin conditioning
ARAUCARIA ANGUSTIFOLIA NUT SHELL POWDER,
ARAUCARIA ANGUSTIFOLIA SEED EXTRACT,skin conditioning;skin conditioning - emollient
ARAUCARIA ANGUSTIFOLIA SEED POWDER,abrasive
ARAUCARIA ANGUSTIFOLIA SEEDCOAT EXTRACT,humectant
ARAUCARIA BIDWILLII SEED EXTRACT,skin conditioning
ARAUCARIA HETEROPHYLLA LEAF EXTRACT,skin conditioning
ARBUTIN,antioxidant;bleaching;skin conditioning - miscellaneous
ARBUTINYL UNDECYLENATE,antimicrobial;antioxidant;bleaching
ARBUTUS UNEDO FRUIT EXTRACT,antioxidant;skin conditioning
ARBUTUS UNEDO LEAF CELL EXTRACT,antioxidant;skin protecting
ARBUTUS UNEDO LEAF EXTRACT,skin conditioning
ARBUTUS UNEDO LEAF WATER,skin conditioning;skin conditioning - emollient
ARCTIGENIN,antioxidant
ARCTIIN,antioxidant
ARCTIUM LAPPA FRUIT EXTRACT,antioxidant;skin conditioning
ARCTIUM LAPPA LEAF EXTRACT,skin conditioning
ARCTIUM LAPPA ROOT EXTRACT,skin conditioning
ARCTIUM LAPPA ROOT POWDER,skin conditioning
ARCTIUM LAPPA SEED EXTRACT,hair conditioning;skin conditioning
ARCTIUM LAPPA SEED OIL,skin conditioning;skin conditioning - emollient
ARCTIUM LAPPA SEED WATER,skin conditioning
ARCTIUM MAJUS ROOT EXTRACT,skin conditioning
ARCTIUM MAJUS ROOT WATER,skin conditioning
ARCTIUM MINUS ROOT EXTRACT,skin conditioning
ARCTOSTAPHYLOS UVA URSI LEAF EXTRACT,skin conditioning
ARCTOSTAPHYLOS UVA URSI LEAF POWDER,bleaching;skin conditioning
ARCTOSTAPHYLOS UVA-URSI LEAF EXTRACT,skin conditioning
ARCTOSTAPHYLOS UVA-URSI LEAF POWDER,bleaching;skin conditioning
ARCTOSTAPHYLOS VISCIDA LEAF EXTRACT,humectant;skin conditioning
ARDISIA CRENATA EXTRACT,skin conditioning
ARDISIA CRENATA LEAF EXTRACT,skin conditioning
ARDISIA CRISPA EXTRACT,skin conditioning
ARDISIA JAPONICA BRANCH/LEAF EXTRACT,skin conditioning
ARECA CATECHU SEED EXTRACT,skin conditioning
ARECA CATECHU SEED/EUGENIA CARYOPHYLLUS STEM EXTRACT,skin conditioning
ARECA CATECHU SHELL EXTRACT,skin conditioning
ARENARIA KANSUENSIS LEAF/ROOT/STEM EXTRACT,humectant
ARENARIA SERPYLLIFOLIA LEAF EXTRACT,skin conditioning
ARGAN OIL AMINOPROPANEDIOL ESTERS,skin conditioning
ARGAN OIL GLYCERETH-8 ESTERS,cleansing;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
ARGAN OIL ISOSTEARYL ESTERS,hair conditioning;skin conditioning;skin conditioning - emollient
ARGAN OIL PEG-8 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
ARGAN OIL POLYGLYCERYL-6 ESTERS,skin conditioning;skin conditioning - emollient;surfactant - cleansing;surfactant - emulsifying
ARGANIA SPINOSA CALLUS CULTURE EXTRACT,skin conditioning
ARGANIA SPINOSA CALLUS EXTRACT,antimicrobial;antioxidant;hair conditioning;humectant;skin protecting
ARGANIA SPINOSA EXTRACT,skin conditioning
ARGANIA SPINOSA FRUIT EXTRACT,skin conditioning
ARGANIA SPINOSA FRUIT UNSAPONIFIABLES,skin conditioning - emollient
ARGANIA SPINOSA KERNEL EXTRACT,skin conditioning
ARGANIA SPINOSA KERNEL OIL,skin conditioning;skin conditioning - emollient
ARGANIA SPINOSA KERNEL OIL/HYDROGENATED ARGANIA SPINOSA KERNEL OIL ESTERS,humectant;skin conditioning;skin conditioning - emollient
ARGANIA SPINOSA LEAF CELL EXTRACT,skin conditioning
ARGANIA SPINOSA LEAF EXTRACT,skin conditioning
ARGANIA SPINOSA SEEDCAKE,skin conditioning;skin conditioning - emollient
ARGANIA SPINOSA SEEDCAKE EXTRACT,humectant
ARGANIA SPINOSA SHELL POWDER,abrasive
ARGANIA SPINOSA SPROUT CELL EXTRACT,skin conditioning
ARGEMONE MEXICANA CALLUS EXTRACT,antioxidant
ARGEMONE MEXICANA SEED OIL,hair conditioning;skin conditioning;skin conditioning - emollient
ARGILLA,abrasive;bulking;humectant
ARGILLA EXTRACT,skin conditioning
ARGININE,antistatic;fragrance;hair conditioning;skin conditioning
ARGININE AMINOPHOSPHONOBUTYRIC ACID,antioxidant;antiplaque;hair conditioning;nail conditioning;skin conditioning - emollient
ARGININE ASPARTATE,hair conditioning;skin conditioning
ARGININE BICARBONATE,oral care
ARGININE COCOATE,skin conditioning
ARGININE DNA,skin conditioning
ARGININE FERULATE,skin conditioning
ARGININE GLUTAMATE,hair conditioning;skin conditioning
ARGININE HCL,skin conditioning
ARGININE HEXYLDECYL PHOSPHATE,cleansing;skin conditioning - emollient;surfactant - cleansing
ARGININE LAURAMINOPROPIONATE,cleansing;surfactant - cleansing;surfactant - emulsifying;surfactant - foam boosting
ARGININE LAURETH SULFATE,cleansing;foaming;surfactant - cleansing;surfactant - foam boosting
ARGININE LAUROYL GLUTAMATE,cleansing;foaming;surfactant - cleansing
ARGININE LAUROYL GLYCINATE,cleansing;foaming;surfactant - cleansing
ARGININE LAUROYL METHYL BETA-ALANINATE,cleansing;surfactant - cleansing
ARGININE MANDELATE,not reported
ARGININE PCA,humectant;skin conditioning
ARGININE PEG-4 COCAMIDE SULFATE,cleansing;foaming;surfactant - cleansing;surfactant - foam boosting
ARGININE PORPHYRA YEZOENSIS EXTRACT,hair conditioning;skin conditioning
ARGININE/LYSINE POLYPEPTIDE,skin conditioning
ARGINYL SH-PENTAPEPTIDE-7,skin protecting
ARGON,antioxidant
ARISAEMA AMURENSE EXTRACT,skin conditioning
ARISAEMA CONSANGUINEUM ROOT EXTRACT,skin conditioning
ARISTOTELIA CHILENSIS FRUIT EXTRACT,skin conditioning
ARISTOTELIA CHILENSIS FRUIT JUICE,antioxidant
ARISTOTELIA CHILENSIS LEAF EXTRACT,skin conditioning
ARISTOTELIA CHILENSIS SEED OIL,humectant;skin conditioning;skin conditioning - emollient
ARMERIA ALPINA LEAF CELL EXTRACT,antioxidant;skin protecting
ARMERIA MARITIMA EXTRACT,skin conditioning
ARMERIA MARITIMA FLOWER/LEAF/STEM EXTRACT,skin conditioning
ARMILLARIA MELLEA EXTRACT,skin conditioning
ARMILLARIA MELLEA FERMENT FILTRATE,skin conditioning
ARMILLARIA MELLEA MYCELIUM EXTRACT,skin conditioning
ARNEBIA EUCHROMA ROOT EXTRACT,antimicrobial
ARNICA CHAMISSONIS FLOWER EXTRACT,fragrance;skin conditioning
ARNICA MONTANA EXTRACT,skin conditioning
ARNICA MONTANA FLOWER,skin conditioning
ARNICA MONTANA FLOWER EXTRACT,fragrance;perfuming;skin conditioning
ARNICA MONTANA FLOWER OIL,perfuming
ARNICA MONTANA FLOWER WATER,skin conditioning
AROMA,flavouring
ARONIA ARBUTIFOLIA EXTRACT,hair conditioning;skin conditioning
ARONIA ARBUTIFOLIA FRUIT EXTRACT,skin conditioning
ARONIA MELANOCARPA CALLUS EXTRACT,antioxidant;hair conditioning;skin protecting
ARONIA MELANOCARPA FRUIT EXTRACT,skin conditioning
ARONIA MELANOCARPA FRUIT JUICE,skin conditioning
ARONIA MELANOCARPA FRUIT/LEAF EXTRACT,skin conditioning
ARRABIDAEA CHICA LEAF POWDER,abrasive
ARRABIDAEA CHICA LEAF/STEM EXTRACT,antimicrobial;astringent;colorant;skin conditioning;skin conditioning - emollient
ARTEMIA EXTRACT,skin conditioning
ARTEMISIA ABROTANUM EXTRACT,skin protecting
ARTEMISIA ABROTANUM LEAF/STEM EXTRACT,moisturising;skin conditioning
ARTEMISIA ABSINTHIUM EXTRACT,skin conditioning
ARTEMISIA ABSINTHIUM HERB EXTRACT,perfuming
ARTEMISIA ABSINTHIUM HERB OIL,perfuming
ARTEMISIA ABSINTHIUM OIL,antimicrobial
ARTEMISIA AFRA LEAF/STEM OIL,flavouring;fragrance;skin conditioning
ARTEMISIA ANNUA (LEAF/STEM)/FICUS CARICA FRUIT/GINKGO BILOBA LEAF EXTRACT,skin conditioning
ARTEMISIA ANNUA CALLUS EXTRACT,antimicrobial;antioxidant;hair conditioning;skin conditioning;skin protecting
ARTEMISIA ANNUA EXTRACT,fragrance
ARTEMISIA ANNUA HERB OIL,perfuming
ARTEMISIA ANNUA LEAF EXTRACT,anti-seborrheic;antimicrobial;perfuming;skin conditioning
ARTEMISIA ANNUA LEAF/STEM EXTRACT,skin conditioning
ARTEMISIA ANNUA MERISTEM CELL EXTRACT,antioxidant
ARTEMISIA ANNUA OIL,antioxidant;humectant;skin conditioning;skin conditioning - emollient
ARTEMISIA ANNUA SEED EXTRACT,antioxidant
ARTEMISIA ANNUA/CITRUS JUNOS FRUIT/PINUS DENSIFLORA LEAF EXTRACT,skin protecting
ARTEMISIA ANOMALA EXTRACT,skin conditioning
ARTEMISIA ARBORESCENS HERB OIL,perfuming
ARTEMISIA ARGYI LEAF EXTRACT,hair conditioning;skin conditioning
ARTEMISIA ARGYI LEAF OIL,fragrance
ARTEMISIA ARGYI LEAF WATER,skin conditioning
ARTEMISIA ASIATICA EXTRACT,skin conditioning
ARTEMISIA CAPILLARIS EXTRACT,
ARTEMISIA CAPILLARIS FLOWER EXTRACT,skin conditioning
ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM EXTRACT,antioxidant;skin conditioning
ARTEMISIA CAPILLARIS FLOWER/LEAF/STEM WATER,flavouring;fragrance;perfuming;skin conditioning
ARTEMISIA CAPILLARIS LEAF EXTRACT,skin conditioning
ARTEMISIA CAPILLARIS LEAF/STEM/WOOD EXTRACT,skin conditioning
ARTEMISIA CARUIFOLIA EXTRACT,skin conditioning
ARTEMISIA CARUIFOLIA POWDER,abrasive;fragrance;humectant;skin conditioning;skin protecting
ARTEMISIA DRACUNCULUS FLOWER,skin conditioning
ARTEMISIA DRACUNCULUS HERB EXTRACT,perfuming
ARTEMISIA DRACUNCULUS LEAF/STEM EXTRACT,fragrance
ARTEMISIA DRACUNCULUS OIL,perfuming;skin conditioning
ARTEMISIA DRACUNCULUS ROOT EXTRACT,skin conditioning
ARTEMISIA DRACUNCULUS SEED/ANTHEMIS NOBILIS SEED/HYPERICUM ANDROSAEMUM SEED EXTRACT,skin conditioning
ARTEMISIA FUKUDO EXTRACT,humectant;skin conditioning
ARTEMISIA GLACIALIS EXTRACT,humectant;skin conditioning
ARTEMISIA GMELINII EXTRACT,skin conditioning;skin conditioning - emollient;skin protecting
ARTEMISIA GMELINII LEAF OIL,skin conditioning;skin protecting
ARTEMISIA GMELINII LEAF/STEM/TWIG EXTRACT,antioxidant
ARTEMISIA HERBA-ALBA FLOWER EXTRACT,skin conditioning
ARTEMISIA HERBA-ALBA HERB OIL,perfuming
ARTEMISIA HERBA-ALBA LEAF OIL,fragrance
ARTEMISIA HERBA-ALBA OIL,fragrance
ARTEMISIA JAPONICA EXTRACT,humectant;skin protecting
ARTEMISIA LAVANDULAEFOLIA EXTRACT,skin protecting
ARTEMISIA MARITIMA EXTRACT,antioxidant
ARTEMISIA MARITIMA HERB OIL,perfuming
ARTEMISIA MONGOLIA LEAF EXTRACT,skin conditioning
ARTEMISIA MONTANA FLOWER OIL,skin conditioning;skin conditioning - emollient
ARTEMISIA MONTANA LEAF EXTRACT,skin conditioning
ARTEMISIA MONTANA LEAF WATER,hair conditioning;skin conditioning
ARTEMISIA PALLENS FLOWER EXTRACT,perfuming
ARTEMISIA PALLENS FLOWER OIL,fragrance;perfuming
ARTEMISIA PALLENS FLOWER/LEAF/STEM OIL,fragrance
ARTEMISIA PALLENS HERB EXTRACT,perfuming
ARTEMISIA PALLENS HERB OIL,perfuming
ARTEMISIA PRINCEPS CALLUS EXTRACT,antioxidant;hair conditioning;humectant;skin conditioning;skin protecting
ARTEMISIA PRINCEPS EXTRACT,skin conditioning
ARTEMISIA PRINCEPS LEAF EXTRACT,skin conditioning
ARTEMISIA PRINCEPS LEAF OIL,skin conditioning;skin protecting
ARTEMISIA PRINCEPS LEAF WATER,fragrance
ARTEMISIA PRINCEPS LEAF/EQUISETUM ARVENSE/HOUTTUYNIA CORDATA EXTRACT,skin conditioning
ARTEMISIA PRINCEPS LEAF/STEM/TWIG EXTRACT,antioxidant
ARTEMISIA PRINCEPS LEAF/TRITICUM VULGARE BRAN EXTRACT,anti-sebum;antimicrobial;antioxidant;antiplaque;skin protecting
ARTEMISIA SCOPARIA EXTRACT,skin conditioning
ARTEMISIA TRIDENTATA,not reported
ARTEMISIA TRIDENTATA EXTRACT,skin conditioning
ARTEMISIA TRIDENTATA LEAF/STEM OIL,skin conditioning
ARTEMISIA UMBELLIFORMIS EXTRACT,skin conditioning
ARTEMISIA UMBELLIFORMIS FLOWER EXTRACT,skin conditioning
ARTEMISIA VULGARIS EXTRACT,skin conditioning
ARTEMISIA VULGARIS HERB EXTRACT,perfuming
ARTEMISIA VULGARIS OIL,perfuming;skin conditioning
ARTEMISINIC ACID,
ARTEMISININ,antimicrobial;skin conditioning
ARTEPILLIN C,humectant;skin conditioning
ARTHRAXON HISPIDUS FLOWER/LEAF/STEM EXTRACT,
ARTHROBACTER/HYALURONIC ACID FERMENT FILTRATE,skin conditioning;skin conditioning - emollient
ARTHROBACTER/PANAX GINSENG ROOT FERMENT FILTRATE,skin conditioning
ARTHROSPIRA EXTRACT,skin conditioning
ARTHROSPIRA PLATENSIS CULTURE CONDITIONED MEDIA,antimicrobial;antioxidant;hair conditioning;humectant;skin conditioning;skin protecting
ARTHROSPIRA PLATENSIS EXTRACT,antioxidant;hair conditioning;humectant;skin conditioning;skin protecting
ARTOCARPUS ALTILIS FLOWER EXTRACT,antioxidant;skin protecting
ARTOCARPUS ALTILIS WOOD EXTRACT,anti-sebum;antimicrobial;antioxidant;bleaching
ARTOCARPUS HETEROPHYLLUS FRUIT EXTRACT,skin conditioning
ARTOCARPUS HETEROPHYLLUS SEED EXTRACT,bleaching
ARTOCARPUS LAKOOCHA WOOD EXTRACT,antimicrobial;antioxidant;bleaching;skin conditioning
ARUNCUS AETHUSIFOLIUS EXTRACT,skin conditioning
ARUNCUS DIOICUS LEAF/STEM EXTRACT,skin protecting
ARUNCUS DIOICUS ROOT EXTRACT,skin conditioning
ARUNDO DONAX STEM EXTRACT,skin conditioning
ASARUM HETEROTROPOIDES EXTRACT,anti-seborrheic;antimicrobial;antioxidant
ASARUM HETEROTROPOIDES RHIZOME EXTRACT,antioxidant;skin conditioning;skin protecting
ASARUM HETEROTROPOIDES ROOT EXTRACT,skin conditioning;skin conditioning - emollient
ASARUM SIEBOLDII RHIZOME/ROOT EXTRACT,skin conditioning
ASARUM SIEBOLDII ROOT EXTRACT,skin conditioning
ASARUM SIEBOLDII ROOT WATER,fragrance
ASCIDIAN TUNIC EXTRACT,
ASCOPHYLLUM NODOSUM,skin conditioning
ASCOPHYLLUM NODOSUM EXTRACT,skin conditioning
ASCOPHYLLUM NODOSUM POWDER,skin conditioning
ASCOPHYLLUM NODOSUM/FUCUS VESICULOSUS EXTRACT,humectant;skin conditioning
